cluster_id,rep_subpath,gamma,n_members,trip_ids
C000055,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['f9a1cda67d22782f4056470a10dea6df24e912bc', 'a07508e00c95f52994d7c0bfc720d42d0fe5a26d', '71f7df0160a2e445b145b1b7feffb2e83c0c1494']"
C000056,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['1792ce869352e474afe3e40ab16da54f2b5d7ec7', '8a1d421f3ae5234e661000054036f9914d304b98', 'ff7a3fcadfd71158ece3eaf1e47fa077a0cfeb8e']"
C000057,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['6e4759a0675d9a1d0f55ee7cd1a4e9c4ae5bd45e', '6cc8b336ebbda5cf7c4ca35f3c15227257a97142', 'fe0d320f654bda1aeb390ebe544bb4c40b26d281']"
C000058,"[369890932, 33718424, 269448542, 269448563]",0.308,4,"['6a5dc16f45c8cef11c74bbed0e9b71a53805038a', 'ca1dab1cbdd97514f78e34015a4db6bef0af096b', 'd14eeb9565c216fcd61a6ed16ed9e8aeb7258434', '82af55860d2c351a68b952ffaeede52b99c7265d']"
C000059,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['5078261730ea0fb8ece776c16fb5eeb363f071e0', '74d3e59ca4ab376341b2e13ce4df8fc2a4b53142', '9db5279464eaed20afa5d1a8f75e54604a68bbd1']"
C000060,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['a07ed577b675df07257892797c92616fc677f142', 'f5f912a738dc92d1874cb70b987bdd3b7f20072f', '295fb542785caf5e3e0f407b40172eaf80cfd274']"
C000061,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['3205ad6282ffee426dc9a3a4b3207825a6f29f67', '71c8b7ea0a6af67817848167250b6e3f59cdc773', '8ecb1093a0c23c95e3ba01439c319238d91091b8']"
C000062,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['4aa68beaf684074e32e1e1d1079b4608592e31df', '3b2f945975745170a38c8400e9dcffec97c98f46', 'dd0fdafe9cfc15880f3cf1dab022bcd897a2ef2c']"
C000063,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['653c55ae8facd0f07e8f42d0a67e0540c15fc6c1', '5f48ffebe73ec1b3b4557e7443b98469a4697d22', 'd6c596aa2185e384ac0db9f58577f42e9a7f5965']"
C000064,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['aa7edb8d345964f3fd5d16c086fa2c986944c453', '6f4f22879e801022c082a881432ce1609bf78125', '968e53a94e41b09de199f24c4e26720c770234b4']"
C000065,"[369890932, 33718424, 269448542, 269448563]",0.308,3,"['b517ed5dc783312b8f5a2cb0450629022191e20d', '97761c3a4dab94d58f8dc1aaa1b7ae7a780cf39f', '209bd0511c755a8c2681c1de6717542f4e481bca']"
C000066,"[258023463, 258023391, 1468352731, 10942548013]",0.308,4,"['209c6f7967ec371361d18dbda1bcd0b1fa1213f0', 'f8781930dbc2a5d180906fc8e4147dd959a29008', '4c57932b5bf142980ad78a892c44b12494abd8c7', '031cb388fd75561e9e1b3247b53bb8dab29a7da6']"
C000067,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['027c3b9b39ad92728caa5d2f3e4a182ba334bf34', 'aeed501eae2f6206bbe0c50b8085653ce2a48eb5', '45d30f5eaf866e476c688137288a41a6c659927e']"
C000068,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['1623b82d9bbca6cd92152e1ffb9482e092bbaed3', 'f47f4c30fae6708892ae49ef5392e20e9b875834', '5248ba70a16515102b31e70b32ab017cbe6e851c']"
C000069,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['3a1ae1453f7f75e3bebaaac271f6a374fec806d6', '34d49eca50571968e0bf62350448e81bfbae4121', 'f58385c5d332cf7d55f4700915aa849eafacefcb']"
C000070,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['4290a8a916bfe589fa95ccb3421dd001fb1fc37f', 'db4c8e1af49d4c94d2cd91095c62de64f9650425', 'f4f439c6c3d1829d198b3d5c657cc3248296f86d']"
C000071,"[258023463, 258023391, 1468352731, 10942548013]",0.308,4,"['512d67ccd1d624fa9b8e595f1da50c58632c69c8', 'a359391cf4f75dfe1e4115110ce726543bc18f03', '5047bc2edc44d4ef384ad7ad62542096504f369b', '4f0c9a3759187797e0202281b22fe9611b825437']"
C000072,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['7c2fd0319a10add5d383866617a6daf8a20959e6', 'e89a8724f0153df7cc406137cc75aca5931e4a58', '96b71b22a6525bd2738a866f5efa134503de3e43']"
C000073,"[258023463, 258023391, 1468352731, 10942548013]",0.316,3,"['5a37576fa29beeb660301a9cbbea82658bf6b320', '0945dc81ebb3cf5ee2810c9ef7459d352f58a92e', 'bb25ec51416fa04d54cc6f58ca88d5d2d4d4a17f']"
C000074,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['97a670ad709edeba268c83c15d1d3a8e10bd9ae6', '13356edfb9fae86147da6a660d9bb2a13a09fe84', 'b036358c9c9cbe7c1e510ac984a2718ac593e893']"
C000075,"[258023463, 258023391, 1468352731, 10942548013]",0.333,3,"['7c1f8872a10ffefce1cbaf4a29c4c8c5e9b12253', '62c4b61d15f4825407815e6209ef10e14eb89159', '9c67048976fedab8ffd3e6e5d30884603b320e7e']"
C000076,"[258023463, 258023391, 1468352731, 10942548013]",0.3,3,"['42d3f1b835992b691868916e0f8acea5d35576cf', 'fe1801c3bad3765cc29b699b64efad37c4a0af8c', '9082bcf18d466a1f3dfd6276d56cac6f6677323f']"
